1	Vosim 99S			Jo Scherpenisse	99S	Vosim		Thuis	Sound synthesizer	Jos Jansen	Ongetest		TMS9900	16bits							?	LU			Hardware_Vosim_99S_picture.jpg
184	Digital DEChub 90			Digital	DEChub 90	DEChub 90		Depot	Network device	Museum	OK, production											DND	9 augustus 2014		
185	Digital DECmate			Digital	DECmate I	Digital DECmate		Depot	Tekstverwerker	Museum			PDP8									DND	9 augustus 2014		
186	Digital DECstation 3000			Digital	DECstation 3000	DECstation 3000		Depot	Workstation	Museum			AXP									DND	9 augustus 2014		
187	Digital DEREP			Digital	DEREP	DEREP	AS91031904	Depot	Network device	Museum	Werkt?											DND	9 augustus 2014		
188	Ancona Computer Monitor			Ancona	DI652/00B	Ancona Computer Monitor	TY00531000735	Depot	Monitor	Museum	OK														
189	Schneider DMP2000 (1)			Schneider	DMP2000	Schneider DMP2000	71818	Depot	Printer	Museum	OK														
190	Schneider DMP2000 (2)			Schneider	DMP2000	Schneider DMP2000	71822	Depot	Printer	Museum	Spareparts														
191	Apollo DN560			Apollo	DN560	Apollo DN-560	55502149	MacSimski	Workstation	Hack42															
192			42001023	Dynatech	DPD-8-8 Dynapad Dynapac		GK 50085	Depot	X.25 PAD																
193	Digital DECserver 700-16			Digital	DS700-16 (DSRVW-YB)	DS700-16		Depot	Terminal Server	Museum	OK		68k		WWENG1										
194	ICL Alfaskop			ICL	DU715	ICL Alfaskop	19307 003049	Depot	Terminal	Museum	OK														
195			42001031	LG	E2441TX	Flatron	112NDUN81638	Depot	Monitor																
196	Acorn Electron (1)			Acorn	Electron	Acorn Electron	07-GLAO-1009611	Depot	Homecomputer	Museum	Geen PSU		6502												
197	Acorn Electron (2)			Acorn	Electron	Acorn Electron	07-GLAO-1012322	Depot	Homecomputer	Museum	Geen PSU		6502												
198	Apricot F1		42001046	Apricot	F1	Apricot F1	MF067805	Depot	Desktop computer	Bix	Werkt, maar voeding heeft nieuwe filter caps nodig		8086		MS-DOS										
199	CRDS FD211			Charles Rivers Data Systems	FD211	CRDS FD211	A1295	Depot	Storage	Museum															
200	CRDS FD311			Charles Rivers Data Systems	FD311	CRDS FD311	A532	Depot	Storage	Museum															
201	Digital QBus Unibus kaarten			Digital	Flip Chips	Digital Flip Chips		Depot	Parts	Museum												DND	9 augustus 2014		Hardware_Digital_QBus_Unibus_kaarten_picture.jpg
202	Unibus Qbus VME etc. cards (sortable)			Digital	Flip Chips	Digital Flip Chips		Depot	Parts	Museum												DND	9 augustus 2014		
203	Yodobashi Formula1			Yodobashi	Formula1	Yodobashi Formula 1		Depot	Computer	Jaybee	Operational		Z80		CP/M										
204	Siemens T100A			Siemens	fs sk 2186/1	T100A	2U80723 / 2U79667	Home	Telex	MacSimski	OK		Mechanical, 5Bit												
205	Casio FX-702P			Casio	FX-702P	Casio FX-702P	2B206B	Depot	Calculator	Museum	Onbekend														
206	Apple G4 Cube			Apple	G4 Cube	Apple G4 Cube		Depot	Desktop computer	MacSimski	OK		PPC		MacOS										
207	Barco GD33 (1)			Barco	GD33	Barco GD33		Depot	Monitor	Museum	OK														
